# x 	 y = sin(x)
  0	0
  0.0634665	0.0634239
  0.126933	0.126592
  0.1904	0.189251
  0.253866	0.251148
  0.317333	0.312033
  0.380799	0.371662
  0.444266	0.429795
  0.507732	0.486197
  0.571199	0.540641
  0.634665	0.592908
  0.698132	0.642788
  0.761598	0.690079
  0.825065	0.734592
  0.888531	0.776146
  0.951998	0.814576
  1.01546	0.849725
  1.07893	0.881453
  1.1424	0.909632
  1.20586	0.934148
  1.26933	0.954902
  1.3328	0.971812
  1.39626	0.984808
  1.45973	0.993838
  1.5232	0.998867
  1.58666	0.999874
  1.65013	0.996855
  1.7136	0.989821
  1.77706	0.978802
  1.84053	0.963842
  1.904	0.945001
  1.96746	0.922354
  2.03093	0.895994
  2.0944	0.866025
  2.15786	0.83257
  2.22133	0.795762
  2.28479	0.75575
  2.34826	0.712694
  2.41173	0.666769
  2.47519	0.618159
  2.53866	0.56706
  2.60213	0.513677
  2.66559	0.458227
  2.72906	0.400931
  2.79253	0.34202
  2.85599	0.281733
  2.91946	0.220311
  2.98293	0.158001
  3.04639	0.095056
  3.10986	0.0317279
  3.17333	-0.0317279
  3.23679	-0.095056
  3.30026	-0.158001
  3.36373	-0.220311
  3.42719	-0.281733
  3.49066	-0.34202
  3.55413	-0.400931
  3.61759	-0.458227
  3.68106	-0.513677
  3.74452	-0.56706
  3.80799	-0.618159
  3.87146	-0.666769
  3.93492	-0.712694
  3.99839	-0.75575
  4.06186	-0.795762
  4.12532	-0.83257
  4.18879	-0.866025
  4.25226	-0.895994
  4.31572	-0.922354
  4.37919	-0.945001
  4.44266	-0.963842
  4.50612	-0.978802
  4.56959	-0.989821
  4.63306	-0.996855
  4.69652	-0.999874
  4.75999	-0.998867
  4.82346	-0.993838
  4.88692	-0.984808
  4.95039	-0.971812
  5.01385	-0.954902
  5.07732	-0.934148
  5.14079	-0.909632
  5.20425	-0.881453
  5.26772	-0.849725
  5.33119	-0.814576
  5.39465	-0.776146
  5.45812	-0.734592
  5.52159	-0.690079
  5.58505	-0.642788
  5.64852	-0.592908
  5.71199	-0.540641
  5.77545	-0.486197
  5.83892	-0.429795
  5.90239	-0.371662
  5.96585	-0.312033
  6.02932	-0.251148
  6.09279	-0.189251
  6.15625	-0.126592
  6.21972	-0.0634239
  6.28319	-2.44921e-016
  6.34665	0.0634239
